codigo,nombre,stock_disponible,stock,tipo,nivel_uso,categoria
12301,boquilla 25x20,25,25,Fijos,1,Otros / específico
12188,botadores,30,30,Fijos,1,Otros / específico
12284,botonera emergencia,6,6,Fijos,1,Otros / específico
12311,buzzer piezoeléctrico,11,11,Fijos,1,Otros / específico
12389,cable de bujia,3,3,herramienta,1,Otros / específico
12193,cables 12v,8,8,Fijos,1,Otros / específico
12210,cajas de guantes vinilo,5,5,Fijos,1,Otros / específico
12209,cinta aislante,48,48,Fijos,1,Otros / específico
12265,codo 20 mm,9,9,Fijos,1,Otros / específico
12246,codo ppr 20 mm,8,8,Fijos,1,Otros / específico
12279,codo ppr 20 mm,20,20,Fijos,1,Otros / específico
12274,codo ppr 20 mm 1/2,8,8,Fijos,1,Otros / específico
12239,codo ppr 20x1/2 metalica,8,8,Fijos,1,Otros / específico
12278,codo ppr 25 mm,20,20,Fijos,1,Otros / específico
12287,codo ppr 25 mm,25,25,Fijos,1,Otros / específico
12273,codo ppr 25 mm 1/2,25,25,Fijos,1,Otros / específico
12275,codo ppr 25mm,10,10,Fijos,1,Otros / específico
12264,codo ppr 25mm x 3/4,10,10,Fijos,1,Otros / específico
12259,codo ppr koalition 20 mm,51,51,Fijos,1,Otros / específico
12277,codo terminal hi 20x1/2,10,10,Fijos,1,Otros / específico
12276,codo terminal hi 25x1/2,10,10,Fijos,1,Otros / específico
12186,compresor piston de caliper,2,2,Fijos,1,Otros / específico
12231,conector curvo,39,39,Fijos,1,Otros / específico
12221,conector luz piloto,24,24,Fijos,1,Otros / específico
12232,conector recto,40,40,Fijos,1,Otros / específico
12254,conectores de chapa,128,128,Fijos,1,Otros / específico
12319,contactos auxiliares,72,72,Fijos,1,Otros / específico
12374,controladores de tempreratura honeywell 5200,0,0,Fijos,1,Otros / específico
12250,copla ppr 25 mm,3,3,Fijos,1,Otros / específico
12257,copla ppr koalition 20 mm,50,50,Fijos,1,Otros / específico
12258,copla ppr koalition 25 mm,15,15,Fijos,1,Otros / específico
12266,copla pvc presion,5,5,Fijos,1,Otros / específico
12247,copla reduccion ppr 25x20 mm,2,2,Fijos,1,Otros / específico
12297,copla simple 20 1/2,13,13,Fijos,1,Otros / específico
12195,correas,20,20,Fijos,1,Otros / específico
12270,curva sobrepaso 20 mm,20,20,Fijos,1,Otros / específico
12207,diluyente sintetico,20,20,Fijos,1,Otros / específico
12302,disyunto bipolar,143,143,Fijos,1,Otros / específico
12305,disyuntor trifasicas,29,29,Fijos,1,Otros / específico
12223,enchufes varios,32,32,Fijos,1,Otros / específico
12199,escuadra,29,29,Fijos,1,Otros / específico
12200,escuadra angular,1,1,Fijos,1,Otros / específico
11215,extencion electricas,7,7,Consumibles,1,Otros / específico
12194,extenciones electricas,7,7,Fijos,1,Otros / específico
12325,generador de espectro,1,1,Fijos,1,Otros / específico
12324,generador de señales,1,1,Fijos,1,Otros / específico
12190,graseras,6,6,Fijos,1,Otros / específico
12222,interruptor 9/32,30,30,Fijos,1,Otros / específico
12304,interruptor diferencial,8,8,Fijos,1,Otros / específico
12224,interruptores 9/12,25,25,Fijos,1,Otros / específico
12226,interruptores 9/15,20,20,Fijos,1,Otros / específico
12225,interruptores 9/24,26,26,Fijos,1,Otros / específico
12205,jabon mecanico,8,8,Fijos,1,Otros / específico
12206,limpia contacto w-max,30,30,Fijos,1,Otros / específico
12317,luces de 220 volt,500,500,Fijos,1,Otros / específico
12316,luces de 24 volt,120,120,Fijos,1,Otros / específico
12049,medidor de COSҩ N°1,1,1,Fijos,1,Otros / específico
12050,medidor de coseno ҩ N°1,1,1,Fijos,1,Otros / específico
12283,medidores 220v soherte monofasico,16,16,Fijos,1,Otros / específico
12315,motor de 6 volt,5,5,Fijos,1,Equipos didácticos (bombas/motores)
12192,parlantes,10,10,Fijos,1,Otros / específico
12216,pasta para soldar,5,5,Fijos,1,Otros / específico
12196,pastillas de freno,4,4,Fijos,1,Otros / específico
11241,pesa digital,1,1,Fijos,1,Otros / específico
12215,porta electrodo,9,9,Fijos,1,Otros / específico
12234,prensa estopa,158,158,Fijos,1,Otros / específico
12185,punto de marcas,18,18,Fijos,1,Otros / específico
